id,name,followers,er,country,topic_of_influence,potential_reach,channel_id,subscribers,total_views,total_videos,duplicate_channel_id,channel_name
38,EUROPA Kinderprogramm @UCxkQwIshySkwOqEuZ28o8KA,3.5M,-,Germany,,1.1M,UCxkQwIshySkwOqEuZ28o8KA,3480000,1422591064,404,UCxkQwIshySkwOqEuZ28o8KA,EUROPA Kinderprogramm 
39,LEO ROJAS - official @UCzFnloeM9qA1j7fuJ-7iT3g,3.4M,0.10%,Germany,,1M,UCzFnloeM9qA1j7fuJ-7iT3g,3710000,1048425467,37,UCzFnloeM9qA1j7fuJ-7iT3g,LEO ROJAS - official 
40,MERO @UCeKMrU5GECquXiJl6tnTgPA,3.3M,3%,Germany,,975K,UCeKMrU5GECquXiJl6tnTgPA,3400000,1502194284,57,UCeKMrU5GECquXiJl6tnTgPA,MERO 
41,Felix von der Laden @UChr1sKJ27Fr6WZxAlusbo_w,3.2M,0.10%,Germany,,966K,UChr1sKJ27Fr6WZxAlusbo_w,3200000,1461763140,4008,UChr1sKJ27Fr6WZxAlusbo_w,Felix von der Laden 
42,AirwaveMusicTV @UCwIgPuUJXuf2nY-nKsEvLOg,3.2M,-,Germany,,966K,UCwIgPuUJXuf2nY-nKsEvLOg,3360000,1353734034,4088,UCwIgPuUJXuf2nY-nKsEvLOg,AirwaveMusicTV 
43,BBlocks @UCN-IThhgJxrO07kNEqLnpRw,3.2M,-,Germany,,963K,UCN-IThhgJxrO07kNEqLnpRw,3640000,1135056544,146,UCN-IThhgJxrO07kNEqLnpRw,BBlocks 
44,Merry Margo Live @UCry39FTohgDCCSR9pVyFDzg,3.2M,-,Germany,,963K,UCry39FTohgDCCSR9pVyFDzg,3530000,1428231954,482,UCry39FTohgDCCSR9pVyFDzg,Merry Margo Live 
45,Galileo @UC1XrG1M_hw8103zO2x-oivg,3.2M,-,Germany,,957K,UC1XrG1M_hw8103zO2x-oivg,3260000,3082033245,6460,UC1XrG1M_hw8103zO2x-oivg,Galileo 
46,Keluarga Bahagia Di Jerman @keluargabahagiadijerman,3.1M,0.50%,Germany,,939K,keluargabahagiadijerman,N/A,N/A,N/A,keluargabahagiadijerman,Keluarga Bahagia Di Jerman 
47,Mascha und der Bär @UCA_DdzBmf5yNaxMpVGwZV4g,3.1M,-,Germany,,936K,UCA_DdzBmf5yNaxMpVGwZV4g,5170000,2192077716,1401,UCA_DdzBmf5yNaxMpVGwZV4g,Mascha und der Bär 
48,BangerChannel @UCbDNCzgdLlvYY9dk5M8063A,3M,0.60%,Germany,,891K,UCbDNCzgdLlvYY9dk5M8063A,3000000,2116518296,881,UCbDNCzgdLlvYY9dk5M8063A,BangerChannel 
49,DW Español @UCT4Jg8h03dD0iN3Pb5L0PMA,3M,-,Germany,,891K,UCT4Jg8h03dD0iN3Pb5L0PMA,4610000,2642742099,42827,UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español 
